Shape,Color
Sphere,Red
Sphere,Blue
Cylinder,Blue
Sphere,Green
Pyramid,Green
Cylinder,Green
Pyramid,Red
Cylinder,Red
Sphere,Red
Sphere,Blue
Cylinder,Blue
Sphere,Green
Pyramid,Green
Cylinder,Green
Pyramid,Red
Cylinder,Red
Sphere,Red
Sphere,Blue
Cylinder,Blue
Sphere,Green
Pyramid,Green
Cylinder,Green
Pyramid,Red
Cylinder,Red
Sphere,Red
Sphere,Blue
Cylinder,Blue
Sphere,Green
Pyramid,Green
Cylinder,Green
Pyramid,Red
Cylinder,Red
Sphere,Red
Sphere,Blue
Cylinder,Blue
Sphere,Green
Pyramid,Green
Cylinder,Green
Pyramid,Red
Cylinder,Red
Sphere,Red
Sphere,Blue
Cylinder,Blue
Sphere,Green
Pyramid,Green
Cylinder,Green
Pyramid,Red
Cylinder,Red
Sphere,Red
Sphere,Blue
Cylinder,Blue
Sphere,Green
Pyramid,Green
Cylinder,Green
Pyramid,Red
Cylinder,Red
Sphere,Red
Sphere,Blue
Cylinder,Blue
Sphere,Green
Pyramid,Green
Cylinder,Green
Pyramid,Red
Cylinder,Red
Sphere,Red
Sphere,Blue
Cylinder,Blue
Sphere,Green
Pyramid,Green
Cylinder,Green
Pyramid,Red
Cylinder,Red
Sphere,Red
Sphere,Blue
Cylinder,Blue
Sphere,Green
Pyramid,Green
Cylinder,Green
Pyramid,Red
Cylinder,Red
Sphere,Red
Sphere,Blue
Cylinder,Blue
Sphere,Green
Pyramid,Green
Cylinder,Green
Pyramid,Red
Cylinder,Red
Sphere,Red
Sphere,Blue
Cylinder,Blue
Sphere,Green
Pyramid,Green
Cylinder,Green
Pyramid,Red
Cylinder,Red
Sphere,Red
Sphere,Blue
Cylinder,Blue
Sphere,Green
Pyramid,Green
Cylinder,Green
Pyramid,Red
Cylinder,Red
Sphere,Red
Sphere,Blue
Cylinder,Blue
Sphere,Green
Pyramid,Green
Cylinder,Green
Pyramid,Red
Cylinder,Red
Sphere,Red
Sphere,Blue
Cylinder,Blue
Sphere,Green
Pyramid,Green
Cylinder,Green
Pyramid,Red
Sphere,Red
Sphere,Blue
Cylinder,Blue
Sphere,Green
Pyramid,Green
Cylinder,Green
Pyramid,Red
Sphere,Red
Sphere,Blue
Cylinder,Blue
Sphere,Green
Pyramid,Green
Cylinder,Green
Sphere,Red
Sphere,Blue
Cylinder,Blue
Sphere,Green
Pyramid,Green
Cylinder,Green
Sphere,Red
Sphere,Blue
Cylinder,Blue
Sphere,Green
Pyramid,Green
Cylinder,Green
Sphere,Red
Sphere,Blue
Cylinder,Blue
Sphere,Green
Pyramid,Green
Cylinder,Green
Sphere,Red
Sphere,Blue
Cylinder,Blue
Sphere,Green
Pyramid,Green
Cylinder,Green
Sphere,Red
Sphere,Blue
Cylinder,Blue
Sphere,Green
Pyramid,Green
Cylinder,Green
Sphere,Red
Sphere,Blue
Cylinder,Blue
Sphere,Green
Pyramid,Green
Cylinder,Green
Sphere,Red
Sphere,Blue
Cylinder,Blue
Sphere,Green
Pyramid,Green
Cylinder,Green
Sphere,Red
Sphere,Blue
Cylinder,Blue
Sphere,Green
Pyramid,Green
Cylinder,Green
Sphere,Red
Sphere,Blue
Cylinder,Blue
Sphere,Green
Pyramid,Green
Cylinder,Green
Sphere,Red
Sphere,Blue
Cylinder,Blue
Sphere,Green
Pyramid,Green
Cylinder,Green
Sphere,Red
Sphere,Blue
Cylinder,Blue
Sphere,Green
Pyramid,Green
Cylinder,Green
Sphere,Red
Sphere,Blue
Cylinder,Blue
Sphere,Green
Pyramid,Green
Cylinder,Green
Sphere,Red
Sphere,Blue
Cylinder,Blue
Sphere,Green
Pyramid,Green
Cylinder,Green
Sphere,Red
Sphere,Blue
Cylinder,Blue
Sphere,Green
Pyramid,Green
Cylinder,Green
Sphere,Red
Sphere,Blue
Cylinder,Blue
Sphere,Green
Pyramid,Green
Cylinder,Green
Sphere,Red
Sphere,Blue
Cylinder,Blue
Sphere,Green
Pyramid,Green
Cylinder,Green
Sphere,Red
Sphere,Blue
Cylinder,Blue
Sphere,Green
Pyramid,Green
Cylinder,Green
Sphere,Red
Sphere,Blue
Cylinder,Blue
Sphere,Green
Pyramid,Green
Cylinder,Green
Sphere,Red
Sphere,Blue
Cylinder,Blue
Sphere,Green
Pyramid,Green
Sphere,Red
Sphere,Blue
Cylinder,Blue
Sphere,Green
Pyramid,Green
Sphere,Red
Sphere,Blue
Cylinder,Blue
Sphere,Green
Pyramid,Green
Sphere,Red
Sphere,Blue
Cylinder,Blue
Sphere,Green
Pyramid,Green
Sphere,Red
Sphere,Blue
Cylinder,Blue
Sphere,Green
Pyramid,Green
Sphere,Red
Sphere,Blue
Cylinder,Blue
Sphere,Green
Pyramid,Green
Sphere,Red
Sphere,Blue
Cylinder,Blue
Sphere,Green
Pyramid,Green
Sphere,Red
Sphere,Blue
Cylinder,Blue
Sphere,Green
Pyramid,Green
Sphere,Red
Sphere,Blue
Cylinder,Blue
Sphere,Green
Pyramid,Green
Sphere,Red
Sphere,Blue
Cylinder,Blue
Sphere,Green
Pyramid,Green
Sphere,Red
Sphere,Blue
Cylinder,Blue
Sphere,Green
Pyramid,Green
Sphere,Red
Sphere,Blue
Cylinder,Blue
Sphere,Green
Pyramid,Green
Sphere,Red
Sphere,Blue
Cylinder,Blue
Sphere,Green
Pyramid,Green
Sphere,Red
Sphere,Blue
Cylinder,Blue
Sphere,Green
Pyramid,Green
Sphere,Red
Sphere,Blue
Cylinder,Blue
Sphere,Green
Pyramid,Green
Sphere,Red
Sphere,Blue
Cylinder,Blue
Sphere,Green
Pyramid,Green
Sphere,Red
Sphere,Blue
Cylinder,Blue
Sphere,Green
Pyramid,Green
Sphere,Red
Sphere,Blue
Cylinder,Blue
Sphere,Green
Pyramid,Green
Sphere,Red
Sphere,Blue
Cylinder,Blue
Sphere,Green
Pyramid,Green
Sphere,Red
Sphere,Blue
Cylinder,Blue
Sphere,Green
Pyramid,Green
Sphere,Red
Sphere,Blue
Cylinder,Blue
Sphere,Green
Pyramid,Green
Sphere,Red
Sphere,Blue
Cylinder,Blue
Sphere,Green
Pyramid,Green
Sphere,Red
Sphere,Blue
Cylinder,Blue
Sphere,Green
Pyramid,Green
Sphere,Red
Sphere,Blue
Cylinder,Blue
Sphere,Green
Pyramid,Green
Sphere,Red
Sphere,Blue
Cylinder,Blue
Sphere,Green
Pyramid,Green
Sphere,Red
Sphere,Blue
Cylinder,Blue
Sphere,Green
Pyramid,Green
Sphere,Red
Sphere,Blue
Cylinder,Blue
Sphere,Green
Pyramid,Green
Sphere,Red
Sphere,Blue
Cylinder,Blue
Sphere,Green
Pyramid,Green
Sphere,Red
Sphere,Blue
Cylinder,Blue
Sphere,Green
Pyramid,Green
Sphere,Red
Sphere,Blue
Cylinder,Blue
Sphere,Green
Pyramid,Green
Sphere,Red
Sphere,Blue
Cylinder,Blue
Sphere,Green
Pyramid,Green
Sphere,Red
Sphere,Blue
Cylinder,Blue
Sphere,Green
Pyramid,Green
Sphere,Red
Sphere,Blue
Cylinder,Blue
Sphere,Green
Pyramid,Green
Sphere,Red
Sphere,Blue
Cylinder,Blue
Sphere,Green
Pyramid,Green
Sphere,Red
Sphere,Blue
Cylinder,Blue
Sphere,Green
Pyramid,Green
Sphere,Red
Sphere,Blue
Cylinder,Blue
Sphere,Green
Pyramid,Green
Sphere,Red
Sphere,Blue
Cylinder,Blue
Sphere,Green
Pyramid,Green
